lc_p,lc_L,lc_g,lc_p_claims,lc_L_claims,lc_g_claims,lc_p_crime,lc_L_crime,lc_g_crime,lc_p_health,lc_L_health,lc_g_health,pop_bins,cases_group_claims,cases_group_crime,cases_group_health,cases_group,pop_group,year
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
0.1,0.03063616597220396,666389.3955705797,0.1,0.020640068796637184,287295,0.1,0.0308261527527033,162438.89535010533,0.1,0.08453455647902391,216655.50022047435,1,4029805,1467779.5647027888,264615.89198096807,5762200.456683757,4366277,2013
0.2,0.0716144327675819,1557737.3033367735,0.2,0.05169698012505671,719585,0.2,0.07138673769138888,376173.53376087546,0.2,0.1802546916606418,461978.7695758979,2,2551580,818512.5257157859,263114.67413172143,3633207.1998475073,4364833,2013
0.3,0.1210791991993817,2633681.2003124575,0.3,0.0921168005396829,1282200,0.3,0.11982061630747182,631396.616674706,0.3,0.28096231502664337,720084.5836377514,3,1902030,654733.294624128,262679.0678225083,2819442.362446636,4365293,2013
0.4,0.17971473660787357,3909105.1671382263,0.4,0.1426474132830817,1985549.9999999998,0.4,0.1787186662732832,941760.8146164262,0.4,0.3830761280446718,981794.3525218003,4,1447830,553498.333359294,263940.849945024,2265269.183304318,4365194,2013
0.5,0.24965046225159937,5430327.6981428005,0.5,0.20589994385487473,2865980,0.5,0.25034857879446737,1319215.7619564072,0.5,0.48556814173508034,1244473.4203443085,5,1122060,455776.2017716097,263439.8834795622,1841276.0852511718,4366332,2013
0.6,0.3343001282327116,7271603.783393972,0.6,0.2865118431011363,3988040,0.6,0.33684157535527814,1774991.963728017,0.6,0.5882301201211063,1507588.0944760302,6,880430,377454.9473399811,263337.5836645925,1521222.5310045737,4365343,2013
0.7,0.4384421856134547,9536872.96669829,0.7,0.39052796174516147,5435870,0.7,0.44187937517364057,2328490.297087311,0.7,0.6909790732595712,1770925.6781406226,7,703350,310364.19794172014,261709.76888404883,1275423.966825769,4365866,2013
0.8,0.5680614513747592,12356315.329144929,0.8,0.527175066822757,7337900,0.8,0.566128610609918,2983223.591711439,0.8,0.7937679416989517,2034365.5616201845,8,562615,255223.08291383056,258105.8140618535,1075943.896975684,4364896,2013
0.9,0.7350922287637515,15989522.528992435,0.9,0.7104876435822673,9889480,0.9,0.7214583553322891,3801736.117427225,0.9,0.8967522770335904,2298306.411565209,9,432290,213734.63841077013,245323.2693554236,891347.9077661937,4365692,2013
1,1,21751722.98567619,1,1,13919285,1,1,5269515.682130014,1,1,2562922.3035461768,10,287295,162438.89535010533,216655.50022047435,666389.3955705797,4366853,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
0.1,0.03261851769668064,584372.6344521579,0.1,0.019015385449240363,189450,0.1,0.029509561554368558,151299.5234509787,0.1,0.08623082395618471,243623.11100117918,1,3017865,1475200.0669888586,297877.3483070961,4790942.415295955,4401037,2014
0.2,0.07516321731294708,1346576.436228943,0.2,0.04789879739857081,477215,0.2,0.06871494304169613,352310.83040712547,0.2,0.18301096141426426,517050.60582181776,2,1861420,789726.011463316,292238.76573555084,2943384.777198867,4401707,2014
0.3,0.12554372767104505,2249161.6437107027,0.3,0.08539107506435069,850750,0.3,0.11648342376530424,597226.308264818,0.3,0.2835809432577867,801185.3354458846,3,1345620,646533.3044795688,284893.17354845174,2277046.4780280204,4401117,2014
0.4,0.18477299736721078,3310275.600233257,0.4,0.1333250024967417,1328315,0.4,0.17444282821186743,894392.0338928006,0.4,0.3844193776477671,1086078.5089943362,4,1021450,524338.1394898664,285184.25614206627,1830972.3956319327,4400578,2014
0.5,0.2549085508482535,4566779.606258274,0.5,0.1941807600834489,1934620,0.5,0.24492825344721772,1255780.3665760877,0.5,0.4853608412281373,1371262.7651364026,5,782010,435557.7064337604,288671.13545254857,1506238.841886309,4401250,2014
0.6,0.33898380595590627,6073018.448144581,0.6,0.27267229650551517,2716630,0.6,0.32987972358619055,1691338.0730098481,0.6,0.586726684007945,1657645.996030974,6,606305,361388.332683287,288810.6733417295,1256504.0060250165,4402256,2014
0.7,0.4411850418933901,7903990.843776516,0.7,0.3751967909215963,3738080,0.7,0.4321469895342725,2215676.2124997145,0.7,0.6889023345861868,1946317.1314835227,7,477565,297165.72562798247,286383.23089457134,1061113.956522554,4400003,2014
0.8,0.5682852455320361,10181037.321804537,0.8,0.5102587226619332,5083700,0.8,0.5582472832451826,2862209.516979283,0.8,0.7911273748430501,2235127.804825252,8,373535,244915.47785769272,284134.72962406673,902585.2074817595,4401521,2014
0.9,0.7325791271803592,13124422.099003403,0.9,0.6970922871007033,6945120,0.9,0.7122759795345889,3651935.5284425993,0.9,0.8945657943663646,2527366.5705608027,9,287765,201011.30695614667,273427.49482063856,762203.8017767852,4401936,2014
1,1,17915364.514299355,1,1,9962985,1,1,5127135.595431458,1,1,2825243.9188678986,10,189450,151299.5234509787,243623.11100117918,584372.6344521579,4401657,2014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
0.1,0.035929153316157834,543650.9936756762,0.1,0.018263576981622474,138640,0.1,0.030300955883723425,131268.7044481866,0.1,0.08533206004238378,273742.2892274897,1,2330395,1246112.3127670647,335634.16956321313,3912141.4823302776,4437991,2015
0.2,0.08189804146278389,1239215.1640631943,0.2,0.04685706155855601,355695,0.2,0.06949348370368867,301057.15504092595,0.2,0.18156773876122206,582463.0090222685,2,1426005,671112.4369421824,330244.8183731816,2427362.2553153643,4438814,2015
0.3,0.13550255096971753,2050315.403540201,0.3,0.08346984250562997,633625,0.3,0.11738804955218177,508544.2598426999,0.3,0.2825904800681562,906540.4595802533,3,1029170,535759.7959897079,324077.4505579848,1889007.246547693,4436135,2015
0.4,0.19751565914787975,2988647.7818546565,0.4,0.13081827121754325,993050,0.4,0.17517708024388348,758895.8071445803,0.4,0.3837675437457641,1231112.9709513285,4,773265,442459.6142606312,324572.5113710755,1540297.1256317068,4438998,2015
0.5,0.2696168482950327,4079624.87168827,0.5,0.1905852472610892,1446745,0.5,0.24589329482264716,1065250.0326302743,0.5,0.4852908154380061,1556796.1056265612,5,585485,371469.6161003926,325806.53022534313,1282761.1463257356,4438651,2015
0.6,0.354392784383623,5362386.018014005,0.6,0.26771342361052103,2032229.9999999998,0.6,0.3316401946409851,1436719.6487306668,0.6,0.586852552493129,1882602.6358519043,6,453695,306354.22548569407,330927.86434791854,1090977.0898336126,4438116,2015
0.7,0.4561889223895322,6902683.143645712,0.7,0.3695785769190489,2805495,0.7,0.43377382434655254,1879179.262991298,0.7,0.6892713127744138,2211158.46686448,7,359425,250351.54730188046,328555.8310125756,938332.378314456,4437129,2015
0.8,0.5810308370849634,8791690.390193405,0.8,0.5051550737610598,3834664.9999999995,0.8,0.5574440777462467,2414939.058981006,0.8,0.7922165710669221,2541403.2852376616,8,277930,207487.10480177397,325683.13467523264,811100.2394770066,4438554,2015
0.9,0.7414519006710419,11219052.64550877,0.9,0.6930081615688971,5260670,0.9,0.7123579883412111,3086051.495923188,0.9,0.8953747512294582,2872331.1495855805,9,217055,169788.4505927394,308720.7197947788,695564.1703875181,4437910,2015
1,1,15131194.127839047,1,1,7591065,1,1,4332163.808690253,1,1,3207965.3191487934,10,138640,131268.70444818662,273742.2892274897,543650.9936756763,4438915,2015
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
0.1,0.04290410397013931,699961.1815166787,0.1,0.024833931486265903,183785,0.1,0.03362807911079334,185747.9898269704,0.1,0.035707700636614215,121063.13002089856,1,2211430,1572440.8458114725,384184.7353602318,4168055.581171704,4473746,2016
0.2,0.09436859948155558,1539581.3052559455,0.2,0.05855975763996238,433375,0.2,0.07666254794966015,423453.09494923346,0.2,0.13316785178847274,451491.3217106067,2,1346425,830930.5505052656,377665.95987825695,2555021.5103835226,4474181,2016
0.3,0.15434728772358494,2518106.658376729,0.3,0.10251589068935324,758675,0.3,0.12962115688753467,715975.1602695072,0.3,0.2370864956348176,803816.3403276105,3,956000,660722.6791718429,368151.61912893393,1984874.2983007769,4473491,2016
0.4,0.21514596833221303,3510009.818575329,0.4,0.15860691623336612,1173780,0.4,0.19445362705647498,1074083.6614931915,0.4,0.3434763190038294,1164519.6281281204,4,710840,539926.0017226001,367693.26362722524,1618459.2653498254,4474895,2016
0.5,0.2848901488366446,4647854.790789905,0.5,0.2209373344719859,1635060,0.5,0.26860095488631763,1483643.6916708928,0.5,0.45070463037619024,1528065.7195917238,5,540805,435934.2105027301,363546.09146360325,1340285.3019663333,4473319,2016
0.6,0.3670429045374876,5988140.092756238,0.6,0.29401356113591404,2175865,0.6,0.34752310166994044,1919577.902173623,0.6,0.5582530756095444,1892697.1905826153,6,415105,358108.50122368435,364631.4709908917,1137844.9722145759,4473410,2016
0.7,0.46624632670662064,7606599.358106065,0.7,0.3900657517809463,2886705,0.7,0.44527206959586746,2459503.9038962233,0.7,0.6667045998798498,2260390.4542098404,7,325300,292522.0653202738,360703.28780050995,978525.3531207838,4474352,2016
0.8,0.587909149604071,9591473.65640684,0.8,0.5192451652307393,3842705,0.8,0.5648902390639922,3120226.583068066,0.8,0.7752913165992299,2628542.0733387745,8,249590,237705.10512226302,352325.01861700375,839620.1237392668,4473274,2016
0.9,0.7445191323032687,12146495.166790362,0.9,0.7011807214589166,5189130,0.9,0.7153230825849124,3951157.1335733314,0.9,0.8866842983736513,3006208.0332170315,9,183785,185747.9898269704,330428.19168970815,699961.1815166785,4473656,2016
1,1,16314550.747962069,1,1,7400560,1,1,5523597.979384804,1,1,3390392.768577263,10,461280,409560.0301777013,121063.13002089858,991903.1601985998,4474643,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
0.1,0.045244948790660405,794307.4793872056,0.1,0.02704737548717082,209620,0.1,0.03681579807250926,221436.99101940927,0.1,0.061926407330522,234755.8101926031,1,2338275,1736357.7814256707,417665.8350340899,4492298.616459761,4498751,2017
