year,pop_bins_p,Type,Lc
2013,0.01,ADI,0.044750118471829733
2013,0.01,claims,0.0396396079252634
2013,0.01,crime,0.07483345243944058
2013,0.01,health,0.010697697285250078
2013,0.02,ADI,0.07727094610918095
2013,0.02,claims,0.07630995413916734
2013,0.02,crime,0.10695639804900209
2013,0.02,health,0.02149957391817356
2013,0.03,ADI,0.10606826828257368
2013,0.03,claims,0.10874373216727727
2013,0.03,crime,0.13512196965481513
2013,0.03,health,0.031844934308483244
2013,0.04,ADI,0.1325232830597101
2013,0.04,claims,0.13898486883485753
2013,0.04,crime,0.15941904579770674
2013,0.04,health,0.04217078545765558
2013,0.05,ADI,0.15745763729696438
2013,0.05,claims,0.16750106057890185
2013,0.05,crime,0.18204205284361005
2013,0.05,health,0.0524006511404322
2013,0.06,ADI,0.18095460383875397
2013,0.06,claims,0.1939287829798729
2013,0.06,crime,0.20427308273509656
2013,0.06,health,0.06258135353554271
2013,0.07,ADI,0.20331039674567333
2013,0.07,claims,0.21944697590429393
2013,0.07,crime,0.2241127481263815
2013,0.07,health,0.07293139614372536
2013,0.08,ADI,0.22469027421917798
2013,0.08,claims,0.24370792034217276
2013,0.08,crime,0.2433408987709503
2013,0.08,health,0.08308478560124359
2013,0.09,ADI,0.2451493683081119
2013,0.09,claims,0.2669616291354046
2013,0.09,crime,0.26149472055770145
2013,0.09,health,0.09310239074044593
2013,0.1,ADI,0.2649053103612478
2013,0.1,claims,0.28951235641773265
2013,0.1,crime,0.27854002943247064
2013,0.1,health,0.10324875687115473
2013,0.11,ADI,0.28395534147705886
2013,0.11,claims,0.3106844209311039
2013,0.11,crime,0.29629503725397216
2013,0.11,health,0.11343453166896095
2013,0.12,ADI,0.302405265529098
2013,0.12,claims,0.33116463956302356
2013,0.12,crime,0.31335895744711967
2013,0.12,health,0.12370536675812599
2013,0.13,ADI,0.32027715372957966
2013,0.13,claims,0.35135030283523905
2013,0.13,crime,0.3288775684806308
2013,0.13,health,0.1338458801164936
2013,0.14,ADI,0.3375664079092925
2013,0.14,claims,0.3706925319799113
2013,0.14,crime,0.3441749327191345
2013,0.14,health,0.14407769672338394
2013,0.15,ADI,0.35434452959947277
2013,0.15,claims,0.38914175548528535
2013,0.15,crime,0.35968822623310903
2013,0.15,health,0.15437857604390048
2013,0.16,ADI,0.3706874345737998
2013,0.16,claims,0.4070550319215391
2013,0.16,crime,0.374811251795375
2013,0.16,health,0.16469896460555436
2013,0.17,ADI,0.3865816501964844
2013,0.17,claims,0.4239215591892831
2013,0.17,crime,0.39090472467308174
2013,0.17,health,0.1749030780900297
2013,0.18,ADI,0.4020862629418921
2013,0.18,claims,0.44072630167425986
2013,0.18,crime,0.40567204616062746
2013,0.18,health,0.1848613751361745
2013,0.19,ADI,0.41719718043942494
2013,0.19,claims,0.45704430938801816
2013,0.19,crime,0.41980753238037055
2013,0.19,health,0.19542055680934944
2013,0.2,ADI,0.4319369337182185
2013,0.2,claims,0.47282493317724295
2013,0.2,crime,0.43387009261789655
2013,0.2,health,0.20589858003939307
2013,0.21,ADI,0.44633136448924043
2013,0.21,claims,0.4884288237506452
2013,0.21,crime,0.4471241999744379
2013,0.21,health,0.21606718670499842
2013,0.22,ADI,0.4603359164928329
2013,0.22,claims,0.5033415868703026
2013,0.22,crime,0.46060164315151914
2013,0.22,health,0.22622213690180765
2013,0.23,ADI,0.47403436837202645
2013,0.23,claims,0.5179005243444617
2013,0.23,crime,0.4737142665061029
2013,0.23,health,0.23645083203011602
2013,0.24,ADI,0.4873866240912983
2013,0.24,claims,0.5320485211704481
2013,0.24,crime,0.48656063406102956
2013,0.24,health,0.24652072193556643
2013,0.25,ADI,0.5004457465233473
2013,0.25,claims,0.5457791114989025
2013,0.25,crime,0.4990423717048708
2013,0.25,health,0.25711931227583884
2013,0.26,ADI,0.513233071173314
2013,0.26,claims,0.5594015784575141
2013,0.26,crime,0.5107657930805017
2013,0.26,health,0.26755675628431674
2013,0.27,ADI,0.525710755108589
2013,0.27,claims,0.5722326972973109
2013,0.27,crime,0.5233593885460249
2013,0.27,health,0.2778767546611479
2013,0.28,ADI,0.5379059735092114
2013,0.28,claims,0.5850584279293082
2013,0.28,crime,0.5348668806461849
2013,0.28,health,0.2880605785348404
2013,0.29,ADI,0.5498732146803358
2013,0.29,claims,0.5973844920913682
2013,0.29,crime,0.5467783143197192
2013,0.29,health,0.2981936783815758
2013,0.3,ADI,0.56155739255481
2013,0.3,claims,0.6094720382548385
2013,0.3,crime,0.5581200137571827
2013,0.3,health,0.3083907685392417
2013,0.31,ADI,0.5730185592225342
2013,0.31,claims,0.621150799053256
2013,0.31,crime,0.5694740574364276
2013,0.31,health,0.31889025193453635
2013,0.32,ADI,0.5842378621897419
2013,0.32,claims,0.632456336658097
2013,0.32,crime,0.5809160300994395
2013,0.32,health,0.3291837177434207
2013,0.33,ADI,0.5951699175263174
2013,0.33,claims,0.6436199847908854
2013,0.33,crime,0.591591520303524
2013,0.33,health,0.3393850999341368
2013,0.34,ADI,0.6059094934997061
2013,0.34,claims,0.6543159364866802
2013,0.34,crime,0.6027233676307013
2013,0.34,health,0.3495556575238559
2013,0.35,ADI,0.6164147927517771
2013,0.35,claims,0.6647654674791126
2013,0.35,crime,0.6134522229415644
2013,0.35,health,0.3599045295775703
2013,0.36,ADI,0.6267036101973783
2013,0.36,claims,0.6751198068004212
2013,0.36,crime,0.6236172312701295
2013,0.36,health,0.3700918651146675
2013,0.37,ADI,0.6367898782892198
2013,0.37,claims,0.6851497760122017
2013,0.37,crime,0.6337159605158982
2013,0.37,health,0.38045829548540555
2013,0.38,ADI,0.6466392946849854
2013,0.38,claims,0.6948632778192271
2013,0.38,crime,0.6436517457701506
2013,0.38,health,0.39086842655629117
2013,0.39,ADI,0.6562825291733144
2013,0.39,claims,0.704239837031859
2013,0.39,crime,0.653715341404695
2013,0.39,health,0.4010963413149541
2013,0.4,ADI,0.6656992118646008
2013,0.4,claims,0.7134881568988637
2013,0.4,crime,0.6631588762789822
2013,0.4,health,0.41137224880681483
2013,0.41,ADI,0.6749505903727395
2013,0.41,claims,0.7224807165023204
2013,0.41,crime,0.6726709691730098
2013,0.41,health,0.42149364310886783
2013,0.42,ADI,0.6839808429235049
2013,0.42,claims,0.7311758470352464
2013,0.42,crime,0.6820261952407061
2013,0.42,health,0.4316762964280921
2013,0.43,ADI,0.6928498376800287
2013,0.43,claims,0.7397869215265008
2013,0.43,crime,0.6907480667493034
2013,0.43,health,0.44224835420041764
2013,0.44,ADI,0.7015640120792066
2013,0.44,claims,0.7481487016035666
2013,0.44,crime,0.6997257489298967
2013,0.44,health,0.45233502205324616
2013,0.45,ADI,0.7100798674402995
2013,0.45,claims,0.7563782909826188
2013,0.45,crime,0.7081534476612694
2013,0.45,health,0.4625867380860966
2013,0.46,ADI,0.7184758025483605
2013,0.46,claims,0.7643783427094136
2013,0.46,crime,0.7166660367938168
2013,0.46,health,0.4728930799941316
2013,0.47,ADI,0.7266973750799277
2013,0.47,claims,0.7721395172237654
2013,0.47,crime,0.7250542339514886
2013,0.47,health,0.48327277664884305
2013,0.48,ADI,0.7347220080241731
2013,0.48,claims,0.7794735864665462
2013,0.48,crime,0.7337151438968265
2013,0.48,health,0.49374065507349524
2013,0.49,ADI,0.742619501589725
2013,0.49,claims,0.7869143422237564
2013,0.49,crime,0.7416621768443674
2013,0.49,health,0.5040169527501787
2013,0.5,ADI,0.7503481963635287
2013,0.5,claims,0.7941000561451252
2013,0.5,crime,0.7496523196824377
2013,0.5,health,0.5141574661085463
2013,0.51,ADI,0.7579243698645922
2013,0.51,claims,0.8011704624195854
2013,0.51,crime,0.7573222718798363
2013,0.51,health,0.5242878346615225
2013,0.52,ADI,0.7653637018499262
2013,0.52,claims,0.8080648539059297
2013,0.52,crime,0.7648325085797228
2013,0.52,health,0.5345411114336639
2013,0.53,ADI,0.7726616861137037
2013,0.53,claims,0.8147983175859967
2013,0.53,crime,0.772235255420404
2013,0.53,health,0.5446898186733091
2013,0.54,ADI,0.7798420951907472
2013,0.54,claims,0.8212286047738803
2013,0.54,crime,0.7799154628340518
2013,0.54,health,0.5549173432471494
2013,0.55,ADI,0.7868972041567818
2013,0.55,claims,0.8276222521487274
2013,0.55,crime,0.787092784828661
2013,0.55,health,0.5653138178492388
2013,0.56,ADI,0.793821219318601
2013,0.56,claims,0.8338115068410482
2013,0.56,crime,0.7943627835923377
2013,0.56,health,0.5755175411488914
2013,0.57,ADI,0.8006278432204548
2013,0.57,claims,0.8400054313134618
2013,0.57,crime,0.8011067277447089
2013,0.57,health,0.5857805725416015
2013,0.58,ADI,0.8072942229613626
2013,0.58,claims,0.8459270716850757
2013,0.58,crime,0.8079283456645978
2013,0.58,health,0.5961727551106408
2013,0.59,ADI,0.8138546149019491
2013,0.59,claims,0.8517739955752037
2013,0.59,crime,0.8145154229906375
2013,0.59,health,0.6065532321349977
2013,0.6,ADI,0.8202851545440074
2013,0.6,claims,0.8573525867169183
2013,0.6,crime,0.8212821565124516
2013,0.6,health,0.6169200526905585
2013,0.61,ADI,0.8266189027241669
2013,0.61,claims,0.8628223360610836
2013,0.61,crime,0.8280498395913258
2013,0.61,health,0.6270547132765849
2013,0.62,ADI,0.8328285463173125
2013,0.62,claims,0.8683430937724171
2013,0.62,crime,0.8341868268708695
2013,0.62,health,0.6371550375982096
2013,0.63,ADI,0.838935604755353
2013,0.63,claims,0.8737104671683926
2013,0.63,crime,0.8401599206018369
2013,0.63,health,0.647554633678881
2013,0.64,ADI,0.8449518033697775
2013,0.64,claims,0.879001687227469
2013,0.64,crime,0.8461616909560198
2013,0.64,health,0.6575379025536816
2013,0.65,ADI,0.8508413224224296
2013,0.65,claims,0.8841150964291629
2013,0.65,crime,0.8519036624985543
2013,0.65,health,0.6679456925156309
2013,0.66,ADI,0.8566434302783741
2013,0.66,claims,0.889020161595944
2013,0.66,crime,0.8577441980639291
2013,0.66,health,0.6785407711924984
2013,0.67,ADI,0.8623487006907278
2013,0.67,claims,0.8938167441790293
2013,0.67,crime,0.8636325913051339
2013,0.67,health,0.6888049731396768
2013,0.68,ADI,0.8679683072106742
2013,0.68,claims,0.898565551319626
2013,0.68,crime,0.869314740752881
2013,0.68,health,0.6990254743867075
2013,0.69,ADI,0.8734797188090778
2013,0.69,claims,0.9032468262558027
2013,0.69,crime,0.8747900766729344
2013,0.69,health,0.7091195557511683
2013,0.7,ADI,0.8789208703819322
2013,0.7,claims,0.9078831994603171
2013,0.7,crime,0.8801799524575771
2013,0.7,health,0.7190368833909246
2013,0.71,ADI,0.8842570917333838
2013,0.71,claims,0.912340324952036
2013,0.71,crime,0.885547418695601
2013,0.71,health,0.7290833622070102
2013,0.72,ADI,0.8895046603824408
2013,0.72,claims,0.9167852371727427
2013,0.72,crime,0.8906226112705207
2013,0.72,health,0.7390443905469143
2013,0.73,ADI,0.8946713012533781
2013,0.73,claims,0.9210785611473578
2013,0.73,crime,0.8956837504009505
2013,0.73,health,0.749170857251663
2013,0.74,ADI,0.8997423921681039
2013,0.74,claims,0.9253075858422326
2013,0.74,crime,0.9005865034137526
2013,0.74,health,0.7591611494532731
2013,0.75,ADI,0.9047197723943026
2013,0.75,claims,0.9293548483273386
2013,0.75,crime,0.9055354048996764
2013,0.75,health,0.769248597675747
2013,0.76,ADI,0.9096277662471021
2013,0.76,claims,0.9332609397680988
2013,0.76,crime,0.9105403302521473
2013,0.76,health,0.7793988656546833
2013,0.77,ADI,0.9144437967156749
2013,0.77,claims,0.9372137290097875
2013,0.77,crime,0.9151439727910122
2013,0.77,health,0.7893396043838046
2013,0.78,ADI,0.9191733356213824
2013,0.78,claims,0.9409861928971208
2013,0.78,crime,0.9197259654289064
2013,0.78,health,0.7995702504362266
2013,0.79,ADI,0.9238339479706118
2013,0.79,claims,0.9446875324415012
2013,0.79,crime,0.9241784384838004
2013,0.79,health,0.809868398462984
2013,0.8,ADI,0.9283852618376878
2013,0.8,claims,0.9483030198749433
2013,0.8,crime,0.9286134396887884
2013,0.8,health,0.8197412450329472
2013,0.81,ADI,0.9328602001141634
2013,0.81,claims,0.9518653436580974
2013,0.81,crime,0.93299830428100206
2013,0.81,health,0.8293577401743658
2013,0.82,ADI,0.9372476812122392
2013,0.82,claims,0.9552717686289203
2013,0.82,crime,0.9372437738967904
2013,0.82,health,0.8393652005081768
2013,0.83,ADI,0.9415593385000202
2013,0.83,claims,0.958611739036883
